Ṭ-GBP(Ta)Ed,"Ṭikasarvasva as printed in Gurubālaprabodhikā (Tiruveṃkaṭācārya 1885, EAP918/9/8, Roja Muthiah Research Library)"
GKH1,Gurukul Kangri Haridwar 010/415
GKH2,Gurukul Kangri Haridwar unnumbered
RDEd,Arthaprakāśikā (Raviduttaśāstrī 1904)
MPEd,Maṇiprabhā (Haragovinda Śāstrī 1957)
BKEd,Bālakṛṣṇāśramī (Bālakṛṣṇācārya 2000)
KK933,Kavikulguru Kalidas Sanskrit University MS 933
BPEd,Bālapriyā (Kaikulangara Rama Warrier 1950)
PKEd1849,Amarapadakalpataru (Rāmānujācārya 1849)
PKEd1924,Amarapadakalpataru (ed. Veṅkaṭarāmaśāstrī 1924)
Ad69312,Adyar Library MS 69312
Ad70820,Adyar Library MS 70820
Ad71010,Adyar Library MS 71010
Ad72614,Adyar Library MS 72614
RE37121,IFP RE37121
EO1272,École française d’Extrême-Orient MS 1272
RE45807,IFP RE45807
EAP248-1-81,"Vivaraṇa of Lakṣmaṇabudha (Ānandāśrama, Endangered Archives Project)"
EAP584-5-300,"Padavivṛti (Sanskrit Mahāvidyālaya, Endangered Archives Project)"
EAP584-1-88,"Folkland Centre collection, Endangered Archives Project"
RAS-W155,"Udghāṭana (Royal Asiatic Society MS Whish 155)"
EAP584-2-29,"Rajaraja Varma collection, Endangered Archives Project"
EAP886-1-21,"Padacandrikā (Raghunath Temple, Endangered Archives Project)"
RSEd,Kannada commentary of Raṅganātha Śarmā (2013)
JM278,Nāmaliṅgārdhacandrikā (Jangamwadi Math Acc. No. 278)
LREd,Kannada commentary by Lewis Rice (1873)
DEd,Devakośa arthāt Amarakośa [bhāṣā vivaraṇa mūla sahita] (Tivārī 1989 [1879])
SSEd,Bhāṣāṭīkā (Suśilā Siṃha 2018)
WL-a1240,Wellcome Library MS α1240
IO-458,"Mugdhabodhinī of Bharatasena (British Library MS IO SAN 448)"
IO-958,"Padārthakaumudī (British Library MS IO SAN 13 [Eggeling 958])"
IO-1758,"Karnāṭakapriya Vyākhyāna of Lakṣmaṇa Śāstrī (British Library MS IO SAN 1758 [Eggeling 972])"
RE33635,"Karnāṭakapriya Vyākhyāna of Lakṣmaṇa Śāstrī (IFP RE33635)"
Ox-c.31,"Udghāṭana (Bodleian Library, MS Chandra Shum Shere c. 31)"
Ox-c.161,"Udghāṭana (Bodleian Library, MS Chandra Shum Shere c. 161)"
Ox-d.119,"Udghāṭana (Bodleian Library, MS Chandra Shum Shere d. 119)"
Ox-c.32,"Ṭīkā of Kṛṣṇamitra (Bodleian Library, MS Chandra Shum Shere c. 32)"
Ox-d.192(1),"Bodleian Library, Oxford MS Chandra Shum Shere d. 192(1)"
Ox-d.192(2),"Sudhā of Īśvaradatta (Bodleian Library, MS Chandra Shum Shere d. 192(2))"
Ox-d.196(1),"Ṭippaṇa of Lakṣmīdhara (Bodleian Library, MS Chandra Shum Shere d. 196(1))"
Ox-d.196(2),"Bodleian Library, MS Chandra Shum Shere d. 196(2)"
Ox-d.197(2),"Bodleian Library, MS Chandra Shum Shere d. 197(2), marginal commentary"
Ox-d.200,"Bodleian Library, MS Chandra Shum Shere d. 200, interlineal commentary (Śāradā)"
Ox-d.1122,"Bodleian Library, MS Chandra Shum Shere d. 1122, interlineal commentary (Śāradā)"
RAS-T144,"Trikāṇḍacintāmaṇi (Royal Asiatic Society MS Tod 144)"
RAS-T92,"Vyākhyāsudhā (Royal Asiatic Society MS Tod 92)"
RBEd,"Amara Kośa (Hiṃdī rupāntara). Ilāhābāda: Rāmanārāyaṇalāla Benīmādhava"
CSSEd,"Caukhambā Saṃskṛta Sīrīja Āphisa, 1960"
KGEd,"Nepali commentary of Kulacandra Gautama (1956?)"
KGEd1969,"Nepali commentary of Kulacandra Gautama (1969)"
AVEd,"Amarakoṣasya vātāyanāt (Nāmaliṁgānuśāsanam) (Ramā Dubaliśa 2003)"
RWTEd,"Printed by R. W. Thorpe, Vepery Mission Press, 1842"
ŚNEd,"Amarakocam (tamiḻk kuṟippuraiyuṭaṉ), N. Śrinivasan 2014"
PMEd,"Pārameśvarī (Ṭi. Si. Paramēśvaran Mūssat, 1959)"
AAEd,"Amarakosa in Burmese, commentary of Ashin Aggadhammābhivaṃsa (ed. Lokesh Chandra 1984)"
WEd,"Amarakoṣaya (Wimalajoti 1934)"
GEd,"Amarakoṣaya, in Simhala Granthārnavaya hevat sihala Gatsayura (Gunasekhara 1907)"
Tü-3085,"Tübingen Ms.Or.Fol. 3085"
SBB-13208,"Amarāmṛta of Veṅkaṭeśvara (Staatsbibliothek zu Berlin, Hs.or. 13208)"
SBB-3421,"Amarakoṣārthabhāṣāṭīkā of Nāgadeva Bhaṭṭopādhyāya (Staatsbibliothek zu Berlin, Ms.or.fol. 3421)"
SBB-11130,"interlineal commentary, Śāradā script (Staastbibliothek zu Berlin, HS.or. 11130)"
SBB-11178,"interlineal commentary, Śāradā script (Staastbibliothek zu Berlin, HS.or. 11178)"
SBB-11412,"interlineal commentary, Śāradā script (Staastbibliothek zu Berlin, HS.or. 11412)"
SBB-12032,"interlineal commentary, Śāradā script (Staastbibliothek zu Berlin, HS.or. 12032)"
SBB-Chambers804,"marginal commentary, Devanāgarī script (Staastbibliothek zu Berlin, Chambers 804)"
SBB-11554,"Padacandrikā, Śāradā script (Staatsbibliothek zu Berlin, HS.or. 11554)"
SBB-12192,"interlineal commentary, Śāradā script (Staatsbibliothek zu Berlin, HS.or. 12192)"
SBB-12578,"interlineal commentary, Śāradā script (Staatsbibliothek zu Berlin, HS.or. 12578)"
McG-6,"McGill University Library, MS Indic 6"
NKP1878,"interlineal commentary, Naval Kishore Press 1878"
ACEd,"Amarārthacandrikā (Manmathanātha Smṛtiratna Bhaṭṭācāryya, 1927)"
ĀṬEd,"Āṃdhraṭīkā (Kō. Kanakarāya Mōdaliyāra aṃḍu Kaṃpenīvāri, 1908)"
VBEd,"Telugu commentary of Vīra Bhadrayya (Rāmasvāmiśāstrulu āṃḍ sans, 1920)"
